"temp","GCM","RCP"
1.120802,"bcc",2.6
1.118513,"bcc",2.6
1.429406,"BNU",2.6
1.783706,"CanESM2",2.6
1.929356,"CanESM2",2.6
1.901574,"CanESM2",2.6
1.813921,"CanESM2",2.6
1.860807,"CanESM2",2.6
1.152511,"CCSM4",2.6
1.142186,"CCSM4",2.6
1.094628,"CCSM4",2.6
1.080265,"CCSM4",2.6
1.115299,"CCSM4",2.6
1.087274,"CCSM4",2.6
1.625759,"CESM1",2.6
1.628804,"CESM1",2.6
1.73371,"CESM1",2.6
1.298568,"CNRM",2.6
1.565588,"CSIRO",2.6
1.595463,"CSIRO",2.6
1.555413,"CSIRO",2.6
1.465059,"CSIRO",2.6
1.638429,"CSIRO",2.6
1.643722,"CSIRO",2.6
1.623882,"CSIRO",2.6
1.528005,"CSIRO",2.6
1.502254,"CSIRO",2.6
1.461021,"CSIRO",2.6
1.124803,"EC",2.6
1.151111,"EC",2.6
0.787482,"FGOALS",2.6
0.262653,"FIO",2.6
0.363922,"FIO",2.6
0.343942,"FIO",2.6
2.177793,"GFDL",2.6
0.531105,"GFDL",2.6
0.907607,"GFDL",2.6
0.913541,"GISS",2.6
0.642896,"GISS",2.6
1.343268,"HadGEM2",2.6
1.65513,"HadGEM2",2.6
1.721794,"HadGEM2",2.6
1.631876,"HadGEM2",2.6
1.682894,"HadGEM2",2.6
1.5732,"IPSL",2.6
1.483021,"IPSL",2.6
1.514715,"IPSL",2.6
1.50225,"IPSL",2.6
1.363055,"IPSL",2.6
1.856849,"MIROC",2.6
1.831253,"MIROC",2.6
1.301014,"MIROC5",2.6
1.133418,"MIROC5",2.6
1.2551,"MIROC5",2.6
0.981953,"MPI",2.6
1.013646,"MPI",2.6
1.067607,"MPI",2.6
1.042956,"MPI",2.6
1.018051,"MRI",2.6
1.075063,"NorESM1",2.6
1.117672,"NorESM1",2.6
2.348033,"ACCESS1",4.5
2.245039,"ACCESS1",4.5
1.746062,"bcc",4.5
1.827995,"bcc",4.5
2.433892,"BNU",4.5
2.567718,"CanESM2",4.5
2.691983,"CanESM2",4.5
2.63945,"CanESM2",4.5
2.618003,"CanESM2",4.5
2.588952,"CanESM2",4.5
1.877284,"CCSM4",4.5
1.865167,"CCSM4",4.5
1.826178,"CCSM4",4.5
1.848749,"CCSM4",4.5
1.843372,"CCSM4",4.5
1.857083,"CCSM4",4.5
1.785446,"CESM1",4.5
2.394303,"CESM1",4.5
2.389403,"CESM1",4.5
2.424751,"CESM1",4.5
2.31578,"CMCC",4.5
2.415193,"CMCC",4.5
2.079944,"CNRM",4.5
2.414282,"CSIRO",4.5
2.365223,"CSIRO",4.5
2.409794,"CSIRO",4.5
2.353195,"CSIRO",4.5
2.452343,"CSIRO",4.5
2.394719,"CSIRO",4.5
2.404579,"CSIRO",4.5
2.382077,"CSIRO",4.5
2.268114,"CSIRO",4.5
2.231296,"CSIRO",4.5
1.978651,"EC",4.5
1.926576,"EC",4.5
1.959452,"EC",4.5
1.938114,"EC",4.5
2.001329,"EC",4.5
1.997894,"EC",4.5
1.948843,"EC",4.5
1.924352,"EC",4.5
1.482976,"FGOALS",4.5
1.211472,"FIO",4.5
1.326288,"FIO",4.5
1.194931,"FIO",4.5
2.930509,"GFDL",4.5
1.27629,"GFDL",4.5
1.397498,"GFDL",4.5
1.562942,"GISS",4.5
1.653954,"GISS",4.5
1.631402,"GISS",4.5
1.692973,"GISS",4.5
1.633521,"GISS",4.5
1.582911,"GISS",4.5
1.332447,"GISS",4.5
1.328021,"GISS",4.5
1.304684,"GISS",4.5
1.387233,"GISS",4.5
1.361117,"GISS",4.5
1.303094,"GISS",4.5
1.402449,"GISS",4.5
2.639003,"HadGEM2",4.5
2.450958,"HadGEM2",4.5
2.775987,"HadGEM2",4.5
2.663504,"HadGEM2",4.5
2.479798,"HadGEM2",4.5
2.576238,"HadGEM2",4.5
1.300479,"inmcm4",4.5
2.412161,"IPSL",4.5
2.358437,"IPSL",4.5
2.424673,"IPSL",4.5
2.371841,"IPSL",4.5
2.437708,"IPSL",4.5
1.746354,"IPSL",4.5
2.649188,"MIROC",4.5
2.631506,"MIROC",4.5
1.904144,"MIROC5",4.5
1.80243,"MIROC5",4.5
1.836891,"MIROC5",4.5
1.776234,"MPI",4.5
1.861279,"MPI",4.5
1.940745,"MPI",4.5
1.871712,"MPI",4.5
1.905501,"MPI",4.5
1.853179,"MPI",4.5
1.631515,"MRI",4.5
1.759498,"NorESM1",4.5
1.84901,"NorESM1",4.5
2.115729,"bcc",6
2.144316,"bcc",6
2.223554,"CCSM4",6
2.224201,"CCSM4",6
2.163574,"CCSM4",6
2.179969,"CCSM4",6
2.172062,"CCSM4",6
2.169444,"CCSM4",6
2.731789,"CESM1",6
2.643081,"CESM1",6
2.740716,"CESM1",6
2.331384,"CSIRO",6
2.392235,"CSIRO",6
2.342682,"CSIRO",6
2.309049,"CSIRO",6
2.476203,"CSIRO",6
2.347043,"CSIRO",6
2.389162,"CSIRO",6
2.301605,"CSIRO",6
2.411707,"CSIRO",6
2.183645,"CSIRO",6
1.631966,"FIO",6
1.626744,"FIO",6
1.601331,"FIO",6
3.232683,"GFDL",6
1.657534,"GFDL",6
1.762029,"GFDL",6
1.895881,"GISS",6
1.672118,"GISS",6
2.554898,"HadGEM2",6
3.135765,"HadGEM2",6
3.16791,"HadGEM2",6
2.913382,"HadGEM2",6
3.015469,"HadGEM2",6
2.666044,"IPSL",6
2.686924,"IPSL",6
3.0247,"MIROC",6
2.926445,"MIROC",6
2.094073,"MIROC5",6
2.061536,"MIROC5",6
2.033921,"MIROC5",6
1.810687,"MRI",6
1.939984,"NorESM1",6
2.037224,"NorESM1",6
3.893434,"ACCESS1",8.5
3.890177,"ACCESS1",8.5
3.386793,"bcc",8.5
4.274323,"BNU",8.5
4.403613,"CanESM2",8.5
4.493016,"CanESM2",8.5
4.444519,"CanESM2",8.5
4.417719,"CanESM2",8.5
4.482963,"CanESM2",8.5
3.587815,"CCSM4",8.5
3.504212,"CCSM4",8.5
3.391491,"CCSM4",8.5
3.522306,"CCSM4",8.5
3.467292,"CCSM4",8.5
3.454059,"CCSM4",8.5
3.462081,"CESM1",8.5
3.947634,"CESM1",8.5
4.003123,"CESM1",8.5
3.966242,"CMCC",8.5
4.171059,"CMCC",8.5
3.402255,"CNRM",8.5
3.424018,"CNRM",8.5
3.334954,"CNRM",8.5
3.281593,"CNRM",8.5
3.410875,"CNRM",8.5
3.870179,"CSIRO",8.5
3.797972,"CSIRO",8.5
3.77102,"CSIRO",8.5
3.82547,"CSIRO",8.5
3.946155,"CSIRO",8.5
3.874963,"CSIRO",8.5
3.901293,"CSIRO",8.5
3.782415,"CSIRO",8.5
3.752956,"CSIRO",8.5
3.714394,"CSIRO",8.5
3.477166,"EC",8.5
3.529454,"EC",8.5
3.416378,"EC",8.5
3.433665,"EC",8.5
3.468705,"EC",8.5
3.436798,"EC",8.5
3.405019,"EC",8.5
3.470014,"EC",8.5
2.953647,"FGOALS",8.5
3.253711,"FIO",8.5
3.290813,"FIO",8.5
3.259294,"FIO",8.5
4.593631,"GFDL",8.5
2.798156,"GFDL",8.5
2.658001,"GFDL",8.5
2.8903,"GISS",8.5
2.471075,"GISS",8.5
4.000938,"HadGEM2",8.5
4.473233,"HadGEM2",8.5
4.525865,"HadGEM2",8.5
4.563835,"HadGEM2",8.5
4.427982,"HadGEM2",8.5
4.495342,"HadGEM2",8.5
2.523861,"inmcm4",8.5
4.403747,"IPSL",8.5
4.319851,"IPSL",8.5
4.303785,"IPSL",8.5
4.254441,"IPSL",8.5
4.311745,"IPSL",8.5
3.192125,"IPSL",8.5
4.629149,"MIROC",8.5
4.428378,"MIROC",8.5
3.296111,"MIROC5",8.5
3.220596,"MIROC5",8.5
3.221736,"MIROC5",8.5
3.461432,"MPI",8.5
3.477513,"MPI",8.5
3.574049,"MPI",8.5
3.457032,"MPI",8.5
2.99594,"MRI",8.5
3.108899,"NorESM1",8.5
3.301361,"NorESM1",8.5
