"score","team","opponent","home"
0,"Burnley","Man City",1
3,"Man City","Burnley",0
2,"Arsenal","Nottingham Forest",1
1,"Nottingham Forest","Arsenal",0
1,"Bournemouth","West Ham",1
1,"West Ham","Bournemouth",0
4,"Brighton","Luton",1
1,"Luton","Brighton",0
0,"Everton","Fulham",1
1,"Fulham","Everton",0
0,"Sheffield Utd","Crystal Palace",1
1,"Crystal Palace","Sheffield Utd",0
5,"Newcastle","Aston Villa",1
1,"Aston Villa","Newcastle",0
2,"Brentford","Spurs",1
2,"Spurs","Brentford",0
1,"Chelsea","Liverpool",1
1,"Liverpool","Chelsea",0
1,"Man Utd","Wolves",1
0,"Wolves","Man Utd",0
2,"Nottingham Forest","Sheffield Utd",1
1,"Sheffield Utd","Nottingham Forest",0
0,"Fulham","Brentford",1
3,"Brentford","Fulham",0
3,"Liverpool","Bournemouth",1
1,"Bournemouth","Liverpool",0
1,"Wolves","Brighton",1
4,"Brighton","Wolves",0
2,"Spurs","Man Utd",1
0,"Man Utd","Spurs",0
1,"Man City","Newcastle",1
0,"Newcastle","Man City",0
4,"Aston Villa","Everton",1
0,"Everton","Aston Villa",0
3,"West Ham","Chelsea",1
1,"Chelsea","West Ham",0
0,"Crystal Palace","Arsenal",1
1,"Arsenal","Crystal Palace",0
1,"Luton","Burnley",1
2,"Burnley","Luton",0
3,"Chelsea","Luton",1
0,"Luton","Chelsea",0
0,"Bournemouth","Spurs",1
2,"Spurs","Bournemouth",0
2,"Arsenal","Fulham",1
2,"Fulham","Arsenal",0
1,"Brentford","Crystal Palace",1
1,"Crystal Palace","Brentford",0
0,"Everton","Wolves",1
1,"Wolves","Everton",0
3,"Man Utd","Nottingham Forest",1
2,"Nottingham Forest","Man Utd",0
1,"Brighton","West Ham",1
3,"West Ham","Brighton",0
1,"Burnley","Aston Villa",1
3,"Aston Villa","Burnley",0
1,"Sheffield Utd","Man City",1
2,"Man City","Sheffield Utd",0
1,"Newcastle","Liverpool",1
2,"Liverpool","Newcastle",0
1,"Luton","West Ham",1
2,"West Ham","Luton",0
2,"Sheffield Utd","Everton",1
2,"Everton","Sheffield Utd",0
2,"Brentford","Bournemouth",1
2,"Bournemouth","Brentford",0
2,"Burnley","Spurs",1
5,"Spurs","Burnley",0
0,"Chelsea","Nottingham Forest",1
1,"Nottingham Forest","Chelsea",0
5,"Man City","Fulham",1
1,"Fulham","Man City",0
3,"Brighton","Newcastle",1
1,"Newcastle","Brighton",0
3,"Crystal Palace","Wolves",1
2,"Wolves","Crystal Palace",0
3,"Liverpool","Aston Villa",1
0,"Aston Villa","Liverpool",0
3,"Arsenal","Man Utd",1
1,"Man Utd","Arsenal",0
1,"Wolves","Liverpool",1
3,"Liverpool","Wolves",0
3,"Aston Villa","Crystal Palace",1
1,"Crystal Palace","Aston Villa",0
1,"Fulham","Luton",1
0,"Luton","Fulham",0
1,"Man Utd","Brighton",1
3,"Brighton","Man Utd",0
2,"Spurs","Sheffield Utd",1
1,"Sheffield Utd","Spurs",0
1,"West Ham","Man City",1
3,"Man City","West Ham",0
1,"Newcastle","Brentford",1
0,"Brentford","Newcastle",0
0,"Bournemouth","Chelsea",1
0,"Chelsea","Bournemouth",0
0,"Everton","Arsenal",1
1,"Arsenal","Everton",0
1,"Nottingham Forest","Burnley",1
1,"Burnley","Nottingham Forest",0
0,"Crystal Palace","Fulham",1
0,"Fulham","Crystal Palace",0
1,"Luton","Wolves",1
1,"Wolves","Luton",0
2,"Man City","Nottingham Forest",1
0,"Nottingham Forest","Man City",0
1,"Brentford","Everton",1
3,"Everton","Brentford",0
0,"Burnley","Man Utd",1
1,"Man Utd","Burnley",0
2,"Arsenal","Spurs",1
2,"Spurs","Arsenal",0
3,"Brighton","Bournemouth",1
1,"Bournemouth","Brighton",0
0,"Chelsea","Aston Villa",1
1,"Aston Villa","Chelsea",0
3,"Liverpool","West Ham",1
1,"West Ham","Liverpool",0
0,"Sheffield Utd","Newcastle",1
8,"Newcastle","Sheffield Utd",0
6,"Aston Villa","Brighton",1
1,"Brighton","Aston Villa",0
0,"Bournemouth","Arsenal",1
4,"Arsenal","Bournemouth",0
1,"Everton","Luton",1
2,"Luton","Everton",0
0,"Man Utd","Crystal Palace",1
1,"Crystal Palace","Man Utd",0
2,"Newcastle","Burnley",1
0,"Burnley","Newcastle",0
2,"West Ham","Sheffield Utd",1
0,"Sheffield Utd","West Ham",0
2,"Wolves","Man City",1
1,"Man City","Wolves",0
2,"Spurs","Liverpool",1
1,"Liverpool","Spurs",0
1,"Nottingham Forest","Brentford",1
1,"Brentford","Nottingham Forest",0
0,"Fulham","Chelsea",1
2,"Chelsea","Fulham",0
0,"Luton","Spurs",1
1,"Spurs","Luton",0
1,"Burnley","Chelsea",1
4,"Chelsea","Burnley",0
3,"Everton","Bournemouth",1
0,"Bournemouth","Everton",0
3,"Fulham","Sheffield Utd",1
1,"Sheffield Utd","Fulham",0
2,"Man Utd","Brentford",1
1,"Brentford","Man Utd",0
0,"Crystal Palace","Nottingham Forest",1
0,"Nottingham Forest","Crystal Palace",0
2,"Brighton","Liverpool",1
2,"Liverpool","Brighton",0
2,"West Ham","Newcastle",1
2,"Newcastle","West Ham",0
1,"Wolves","Aston Villa",1
1,"Aston Villa","Wolves",0
1,"Arsenal","Man City",1
0,"Man City","Arsenal",0
2,"Liverpool","Everton",1
0,"Everton","Liverpool",0
1,"Bournemouth","Wolves",1
2,"Wolves","Bournemouth",0
3,"Brentford","Burnley",1
0,"Burnley","Brentford",0
2,"Man City","Brighton",1
1,"Brighton","Man City",0
4,"Newcastle","Crystal Palace",1
0,"Crystal Palace","Newcastle",0
2,"Nottingham Forest","Luton",1
2,"Luton","Nottingham Forest",0
2,"Chelsea","Arsenal",1
2,"Arsenal","Chelsea",0
1,"Sheffield Utd","Man Utd",1
2,"Man Utd","Sheffield Utd",0
4,"Aston Villa","West Ham",1
1,"West Ham","Aston Villa",0
2,"Spurs","Fulham",1
0,"Fulham","Spurs",0
1,"Crystal Palace","Spurs",1
2,"Spurs","Crystal Palace",0
0,"Chelsea","Brentford",1
2,"Brentford","Chelsea",0
5,"Arsenal","Sheffield Utd",1
0,"Sheffield Utd","Arsenal",0
2,"Bournemouth","Burnley",1
1,"Burnley","Bournemouth",0
2,"Wolves","Newcastle",1
2,"Newcastle","Wolves",0
0,"West Ham","Everton",1
1,"Everton","West Ham",0
3,"Aston Villa","Luton",1
1,"Luton","Aston Villa",0
1,"Brighton","Fulham",1
1,"Fulham","Brighton",0
3,"Liverpool","Nottingham Forest",1
0,"Nottingham Forest","Liverpool",0
0,"Man Utd","Man City",1
3,"Man City","Man Utd",0
0,"Fulham","Man Utd",1
1,"Man Utd","Fulham",0
3,"Brentford","West Ham",1
2,"West Ham","Brentford",0
0,"Burnley","Crystal Palace",1
2,"Crystal Palace","Burnley",0
1,"Everton","Brighton",1
1,"Brighton","Everton",0
6,"Man City","Bournemouth",1
1,"Bournemouth","Man City",0
2,"Sheffield Utd","Wolves",1
1,"Wolves","Sheffield Utd",0
1,"Newcastle","Arsenal",1
0,"Arsenal","Newcastle",0
2,"Nottingham Forest","Aston Villa",1
0,"Aston Villa","Nottingham Forest",0
1,"Luton","Liverpool",1
1,"Liverpool","Luton",0
1,"Spurs","Chelsea",1
4,"Chelsea","Spurs",0
2,"Wolves","Spurs",1
1,"Spurs","Wolves",0
3,"Arsenal","Burnley",1
1,"Burnley","Arsenal",0
2,"Crystal Palace","Everton",1
3,"Everton","Crystal Palace",0
1,"Man Utd","Luton",1
0,"Luton","Man Utd",0
2,"Bournemouth","Newcastle",1
0,"Newcastle","Bournemouth",0
3,"Aston Villa","Fulham",1
1,"Fulham","Aston Villa",0
1,"Brighton","Sheffield Utd",1
1,"Sheffield Utd","Brighton",0
3,"Liverpool","Brentford",1
0,"Brentford","Liverpool",0
3,"West Ham","Nottingham Forest",1
2,"Nottingham Forest","West Ham",0
4,"Chelsea","Man City",1
4,"Man City","Chelsea",0
1,"Man City","Liverpool",1
1,"Liverpool","Man City",0
1,"Burnley","West Ham",1
2,"West Ham","Burnley",0
2,"Luton","Crystal Palace",1
1,"Crystal Palace","Luton",0
4,"Newcastle","Chelsea",1
1,"Chelsea","Newcastle",0
2,"Nottingham Forest","Brighton",1
3,"Brighton","Nottingham Forest",0
1,"Sheffield Utd","Bournemouth",1
3,"Bournemouth","Sheffield Utd",0
0,"Brentford","Arsenal",1
1,"Arsenal","Brentford",0
1,"Spurs","Aston Villa",1
2,"Aston Villa","Spurs",0
0,"Everton","Man Utd",1
3,"Man Utd","Everton",0
3,"Fulham","Wolves",1
2,"Wolves","Fulham",0
2,"Arsenal","Wolves",1
1,"Wolves","Arsenal",0
3,"Brentford","Luton",1
1,"Luton","Brentford",0
5,"Burnley","Sheffield Utd",1
0,"Sheffield Utd","Burnley",0
0,"Nottingham Forest","Everton",1
1,"Everton","Nottingham Forest",0
1,"Newcastle","Man Utd",1
0,"Man Utd","Newcastle",0
2,"Bournemouth","Aston Villa",1
2,"Aston Villa","Bournemouth",0
3,"Chelsea","Brighton",1
2,"Brighton","Chelsea",0
4,"Liverpool","Fulham",1
3,"Fulham","Liverpool",0
1,"West Ham","Crystal Palace",1
1,"Crystal Palace","West Ham",0
3,"Man City","Spurs",1
3,"Spurs","Man City",0
1,"Wolves","Burnley",1
0,"Burnley","Wolves",0
3,"Luton","Arsenal",1
4,"Arsenal","Luton",0
2,"Brighton","Brentford",1
1,"Brentford","Brighton",0
5,"Fulham","Nottingham Forest",1
0,"Nottingham Forest","Fulham",0
0,"Sheffield Utd","Liverpool",1
2,"Liverpool","Sheffield Utd",0
0,"Crystal Palace","Bournemouth",1
2,"Bournemouth","Crystal Palace",0
1,"Aston Villa","Man City",1
0,"Man City","Aston Villa",0
2,"Man Utd","Chelsea",1
1,"Chelsea","Man Utd",0
3,"Everton","Newcastle",1
0,"Newcastle","Everton",0
1,"Spurs","West Ham",1
2,"West Ham","Spurs",0
1,"Crystal Palace","Liverpool",1
2,"Liverpool","Crystal Palace",0
1,"Brighton","Burnley",1
1,"Burnley","Brighton",0
0,"Man Utd","Bournemouth",1
3,"Bournemouth","Man Utd",0
1,"Sheffield Utd","Brentford",1
0,"Brentford","Sheffield Utd",0
1,"Wolves","Nottingham Forest",1
1,"Nottingham Forest","Wolves",0
1,"Aston Villa","Arsenal",1
0,"Arsenal","Aston Villa",0
2,"Everton","Chelsea",1
0,"Chelsea","Everton",0
5,"Fulham","West Ham",1
0,"West Ham","Fulham",0
1,"Luton","Man City",1
2,"Man City","Luton",0
4,"Spurs","Newcastle",1
1,"Newcastle","Spurs",0
0,"Nottingham Forest","Spurs",1
2,"Spurs","Nottingham Forest",0
2,"Chelsea","Sheffield Utd",1
0,"Sheffield Utd","Chelsea",0
2,"Man City","Crystal Palace",1
2,"Crystal Palace","Man City",0
3,"Newcastle","Fulham",1
0,"Fulham","Newcastle",0
0,"Burnley","Everton",1
2,"Everton","Burnley",0
2,"Arsenal","Brighton",1
0,"Brighton","Arsenal",0
1,"Brentford","Aston Villa",1
2,"Aston Villa","Brentford",0
3,"West Ham","Wolves",1
0,"Wolves","West Ham",0
0,"Liverpool","Man Utd",1
0,"Man Utd","Liverpool",0
4,"Bournemouth","Luton",1
3,"Luton","Bournemouth",0
1,"Crystal Palace","Brighton",1
1,"Brighton","Crystal Palace",0
1,"Aston Villa","Sheffield Utd",1
1,"Sheffield Utd","Aston Villa",0
2,"West Ham","Man Utd",1
0,"Man Utd","West Ham",0
0,"Fulham","Burnley",1
2,"Burnley","Fulham",0
1,"Luton","Newcastle",1
0,"Newcastle","Luton",0
2,"Nottingham Forest","Bournemouth",1
3,"Bournemouth","Nottingham Forest",0
2,"Spurs","Everton",1
1,"Everton","Spurs",0
1,"Liverpool","Arsenal",1
1,"Arsenal","Liverpool",0
2,"Wolves","Chelsea",1
1,"Chelsea","Wolves",0
1,"Man City","Brentford",1
0,"Brentford","Man City",0
1,"Newcastle","Nottingham Forest",1
3,"Nottingham Forest","Newcastle",0
3,"Bournemouth","Fulham",1
0,"Fulham","Bournemouth",0
2,"Sheffield Utd","Luton",1
3,"Luton","Sheffield Utd",0
0,"Burnley","Liverpool",1
2,"Liverpool","Burnley",0
3,"Man Utd","Aston Villa",1
2,"Aston Villa","Man Utd",0
1,"Brentford","Wolves",1
4,"Wolves","Brentford",0
2,"Chelsea","Crystal Palace",1
1,"Crystal Palace","Chelsea",0
1,"Everton","Man City",1
3,"Man City","Everton",0
4,"Brighton","Spurs",1
2,"Spurs","Brighton",0
0,"Arsenal","West Ham",1
2,"West Ham","Arsenal",0
2,"Luton","Chelsea",1
3,"Chelsea","Luton",0
3,"Aston Villa","Burnley",1
2,"Burnley","Aston Villa",0
3,"Crystal Palace","Brentford",1
1,"Brentford","Crystal Palace",0
2,"Man City","Sheffield Utd",1
0,"Sheffield Utd","Man City",0
3,"Wolves","Everton",1
0,"Everton","Wolves",0
2,"Nottingham Forest","Man Utd",1
1,"Man Utd","Nottingham Forest",0
2,"Fulham","Arsenal",1
1,"Arsenal","Fulham",0
3,"Spurs","Bournemouth",1
1,"Bournemouth","Spurs",0
4,"Liverpool","Newcastle",1
2,"Newcastle","Liverpool",0
0,"West Ham","Brighton",1
0,"Brighton","West Ham",0
1,"Burnley","Luton",1
1,"Luton","Burnley",0
1,"Chelsea","Fulham",1
0,"Fulham","Chelsea",0
2,"Newcastle","Man City",1
3,"Man City","Newcastle",0
0,"Everton","Aston Villa",1
0,"Aston Villa","Everton",0
2,"Man Utd","Spurs",1
2,"Spurs","Man Utd",0
5,"Arsenal","Crystal Palace",1
0,"Crystal Palace","Arsenal",0
3,"Brentford","Nottingham Forest",1
2,"Nottingham Forest","Brentford",0
2,"Sheffield Utd","West Ham",1
2,"West Ham","Sheffield Utd",0
0,"Bournemouth","Liverpool",1
4,"Liverpool","Bournemouth",0
0,"Brighton","Wolves",1
0,"Wolves","Brighton",0
1,"Nottingham Forest","Arsenal",1
2,"Arsenal","Nottingham Forest",0
0,"Fulham","Everton",1
0,"Everton","Fulham",0
4,"Luton","Brighton",1
0,"Brighton","Luton",0
3,"Crystal Palace","Sheffield Utd",1
2,"Sheffield Utd","Crystal Palace",0
1,"Aston Villa","Newcastle",1
3,"Newcastle","Aston Villa",0
3,"Spurs","Brentford",1
2,"Brentford","Spurs",0
3,"Man City","Burnley",1
1,"Burnley","Man City",0
4,"Liverpool","Chelsea",1
1,"Chelsea","Liverpool",0
1,"West Ham","Bournemouth",1
1,"Bournemouth","West Ham",0
3,"Wolves","Man Utd",1
4,"Man Utd","Wolves",0
2,"Everton","Spurs",1
2,"Spurs","Everton",0
4,"Brighton","Crystal Palace",1
1,"Crystal Palace","Brighton",0
2,"Burnley","Fulham",1
2,"Fulham","Burnley",0
4,"Newcastle","Luton",1
4,"Luton","Newcastle",0
0,"Sheffield Utd","Aston Villa",1
5,"Aston Villa","Sheffield Utd",0
1,"Bournemouth","Nottingham Forest",1
1,"Nottingham Forest","Bournemouth",0
2,"Chelsea","Wolves",1
4,"Wolves","Chelsea",0
3,"Man Utd","West Ham",1
0,"West Ham","Man Utd",0
3,"Arsenal","Liverpool",1
1,"Liverpool","Arsenal",0
1,"Brentford","Man City",1
3,"Man City","Brentford",0
2,"Man City","Everton",1
0,"Everton","Man City",0
3,"Fulham","Bournemouth",1
1,"Bournemouth","Fulham",0
3,"Liverpool","Burnley",1
1,"Burnley","Liverpool",0
1,"Luton","Sheffield Utd",1
3,"Sheffield Utd","Luton",0
2,"Spurs","Brighton",1
1,"Brighton","Spurs",0
0,"Wolves","Brentford",1
2,"Brentford","Wolves",0
2,"Nottingham Forest","Newcastle",1
3,"Newcastle","Nottingham Forest",0
0,"West Ham","Arsenal",1
6,"Arsenal","West Ham",0
1,"Aston Villa","Man Utd",1
2,"Man Utd","Aston Villa",0
1,"Crystal Palace","Chelsea",1
3,"Chelsea","Crystal Palace",0
1,"Brentford","Liverpool",1
4,"Liverpool","Brentford",0
0,"Burnley","Arsenal",1
5,"Arsenal","Burnley",0
1,"Fulham","Aston Villa",1
2,"Aston Villa","Fulham",0
2,"Newcastle","Bournemouth",1
2,"Bournemouth","Newcastle",0
2,"Nottingham Forest","West Ham",1
0,"West Ham","Nottingham Forest",0
1,"Spurs","Wolves",1
2,"Wolves","Spurs",0
1,"Man City","Chelsea",1
1,"Chelsea","Man City",0
0,"Sheffield Utd","Brighton",1
5,"Brighton","Sheffield Utd",0
1,"Luton","Man Utd",1
2,"Man Utd","Luton",0
1,"Everton","Crystal Palace",1
1,"Crystal Palace","Everton",0
4,"Liverpool","Luton",1
1,"Luton","Liverpool",0
4,"Aston Villa","Nottingham Forest",1
2,"Nottingham Forest","Aston Villa",0
1,"Brighton","Everton",1
1,"Everton","Brighton",0
3,"Crystal Palace","Burnley",1
0,"Burnley","Crystal Palace",0
1,"Man Utd","Fulham",1
2,"Fulham","Man Utd",0
0,"Bournemouth","Man City",1
1,"Man City","Bournemouth",0
4,"Arsenal","Newcastle",1
1,"Newcastle","Arsenal",0
1,"Wolves","Sheffield Utd",1
0,"Sheffield Utd","Wolves",0
4,"West Ham","Brentford",1
2,"Brentford","West Ham",0
2,"Chelsea","Spurs",1
0,"Spurs","Chelsea",0
2,"Brentford","Chelsea",1
2,"Chelsea","Brentford",0
1,"Everton","West Ham",1
3,"West Ham","Everton",0
3,"Fulham","Brighton",1
0,"Brighton","Fulham",0
3,"Newcastle","Wolves",1
0,"Wolves","Newcastle",0
0,"Nottingham Forest","Liverpool",1
1,"Liverpool","Nottingham Forest",0
3,"Spurs","Crystal Palace",1
1,"Crystal Palace","Spurs",0
2,"Luton","Aston Villa",1
3,"Aston Villa","Luton",0
0,"Burnley","Bournemouth",1
2,"Bournemouth","Burnley",0
3,"Man City","Man Utd",1
1,"Man Utd","Man City",0
0,"Sheffield Utd","Arsenal",1
6,"Arsenal","Sheffield Utd",0
2,"Man Utd","Everton",1
0,"Everton","Man Utd",0
2,"Bournemouth","Sheffield Utd",1
2,"Sheffield Utd","Bournemouth",0
1,"Crystal Palace","Luton",1
1,"Luton","Crystal Palace",0
2,"Wolves","Fulham",1
1,"Fulham","Wolves",0
2,"Arsenal","Brentford",1
1,"Brentford","Arsenal",0
0,"Aston Villa","Spurs",1
4,"Spurs","Aston Villa",0
1,"Brighton","Nottingham Forest",1
0,"Nottingham Forest","Brighton",0
2,"West Ham","Burnley",1
2,"Burnley","West Ham",0
1,"Liverpool","Man City",1
1,"Man City","Liverpool",0
3,"Chelsea","Newcastle",1
2,"Newcastle","Chelsea",0
2,"Burnley","Brentford",1
1,"Brentford","Burnley",0
1,"Luton","Nottingham Forest",1
1,"Nottingham Forest","Luton",0
3,"Fulham","Spurs",1
0,"Spurs","Fulham",0
1,"West Ham","Aston Villa",1
1,"Aston Villa","West Ham",0
5,"Arsenal","Chelsea",1
0,"Chelsea","Arsenal",0
0,"Wolves","Bournemouth",1
1,"Bournemouth","Wolves",0
2,"Crystal Palace","Newcastle",1
0,"Newcastle","Crystal Palace",0
2,"Everton","Liverpool",1
0,"Liverpool","Everton",0
4,"Man Utd","Sheffield Utd",1
2,"Sheffield Utd","Man Utd",0
0,"Brighton","Man City",1
4,"Man City","Brighton",0
4,"Newcastle","West Ham",1
3,"West Ham","Newcastle",0
2,"Bournemouth","Everton",1
1,"Everton","Bournemouth",0
2,"Chelsea","Burnley",1
2,"Burnley","Chelsea",0
1,"Nottingham Forest","Crystal Palace",1
1,"Crystal Palace","Nottingham Forest",0
3,"Sheffield Utd","Fulham",1
3,"Fulham","Sheffield Utd",0
2,"Spurs","Luton",1
1,"Luton","Spurs",0
2,"Aston Villa","Wolves",1
0,"Wolves","Aston Villa",0
1,"Brentford","Man Utd",1
1,"Man Utd","Brentford",0
2,"Liverpool","Brighton",1
1,"Brighton","Liverpool",0
0,"Man City","Arsenal",1
0,"Arsenal","Man City",0
3,"Nottingham Forest","Fulham",1
1,"Fulham","Nottingham Forest",0
1,"Newcastle","Everton",1
1,"Everton","Newcastle",0
1,"Bournemouth","Crystal Palace",1
0,"Crystal Palace","Bournemouth",0
1,"Burnley","Wolves",1
1,"Wolves","Burnley",0
1,"West Ham","Spurs",1
1,"Spurs","West Ham",0
2,"Arsenal","Luton",1
0,"Luton","Arsenal",0
0,"Brentford","Brighton",1
0,"Brighton","Brentford",0
4,"Man City","Aston Villa",1
1,"Aston Villa","Man City",0
3,"Liverpool","Sheffield Utd",1
1,"Sheffield Utd","Liverpool",0
4,"Chelsea","Man Utd",1
3,"Man Utd","Chelsea",0
2,"Crystal Palace","Man City",1
4,"Man City","Crystal Palace",0
3,"Aston Villa","Brentford",1
3,"Brentford","Aston Villa",0
1,"Everton","Burnley",1
0,"Burnley","Everton",0
0,"Fulham","Newcastle",1
1,"Newcastle","Fulham",0
2,"Luton","Bournemouth",1
1,"Bournemouth","Luton",0
1,"Wolves","West Ham",1
2,"West Ham","Wolves",0
0,"Brighton","Arsenal",1
3,"Arsenal","Brighton",0
2,"Man Utd","Liverpool",1
2,"Liverpool","Man Utd",0
2,"Sheffield Utd","Chelsea",1
2,"Chelsea","Sheffield Utd",0
3,"Spurs","Nottingham Forest",1
1,"Nottingham Forest","Spurs",0
4,"Newcastle","Spurs",1
0,"Spurs","Newcastle",0
2,"Brentford","Sheffield Utd",1
0,"Sheffield Utd","Brentford",0
1,"Burnley","Brighton",1
1,"Brighton","Burnley",0
5,"Man City","Luton",1
1,"Luton","Man City",0
2,"Nottingham Forest","Wolves",1
2,"Wolves","Nottingham Forest",0
2,"Bournemouth","Man Utd",1
2,"Man Utd","Bournemouth",0
0,"Liverpool","Crystal Palace",1
1,"Crystal Palace","Liverpool",0
0,"West Ham","Fulham",1
2,"Fulham","West Ham",0
0,"Arsenal","Aston Villa",1
2,"Aston Villa","Arsenal",0
6,"Chelsea","Everton",1
0,"Everton","Chelsea",0
1,"Luton","Brentford",1
5,"Brentford","Luton",0
1,"Sheffield Utd","Burnley",1
4,"Burnley","Sheffield Utd",0
0,"Wolves","Arsenal",1
2,"Arsenal","Wolves",0
2,"Everton","Nottingham Forest",1
0,"Nottingham Forest","Everton",0
3,"Aston Villa","Bournemouth",1
1,"Bournemouth","Aston Villa",0
5,"Crystal Palace","West Ham",1
2,"West Ham","Crystal Palace",0
1,"Fulham","Liverpool",1
3,"Liverpool","Fulham",0
0,"Spurs","Man City",1
2,"Man City","Spurs",0
1,"Brighton","Chelsea",1
2,"Chelsea","Brighton",0
3,"Man Utd","Newcastle",1
2,"Newcastle","Man Utd",0
2,"West Ham","Liverpool",1
2,"Liverpool","West Ham",0
1,"Fulham","Crystal Palace",1
1,"Crystal Palace","Fulham",0
1,"Man Utd","Burnley",1
1,"Burnley","Man Utd",0
5,"Newcastle","Sheffield Utd",1
1,"Sheffield Utd","Newcastle",0
2,"Wolves","Luton",1
1,"Luton","Wolves",0
1,"Everton","Brentford",1
0,"Brentford","Everton",0
2,"Aston Villa","Chelsea",1
2,"Chelsea","Aston Villa",0
3,"Bournemouth","Brighton",1
0,"Brighton","Bournemouth",0
2,"Spurs","Arsenal",1
3,"Arsenal","Spurs",0
0,"Nottingham Forest","Man City",1
2,"Man City","Nottingham Forest",0
1,"Luton","Everton",1
1,"Everton","Luton",0
3,"Arsenal","Bournemouth",1
0,"Bournemouth","Arsenal",0
0,"Brentford","Fulham",1
0,"Fulham","Brentford",0
1,"Burnley","Newcastle",1
4,"Newcastle","Burnley",0
1,"Sheffield Utd","Nottingham Forest",1
3,"Nottingham Forest","Sheffield Utd",0
5,"Man City","Wolves",1
1,"Wolves","Man City",0
1,"Brighton","Aston Villa",1
0,"Aston Villa","Brighton",0
5,"Chelsea","West Ham",1
0,"West Ham","Chelsea",0
4,"Liverpool","Spurs",1
2,"Spurs","Liverpool",0
4,"Crystal Palace","Man Utd",1
0,"Man Utd","Crystal Palace",0
0,"Fulham","Man City",1
4,"Man City","Fulham",0
1,"Bournemouth","Brentford",1
2,"Brentford","Bournemouth",0
1,"Everton","Sheffield Utd",1
0,"Sheffield Utd","Everton",0
1,"Newcastle","Brighton",1
1,"Brighton","Newcastle",0
2,"Spurs","Burnley",1
1,"Burnley","Spurs",0
3,"West Ham","Luton",1
1,"Luton","West Ham",0
1,"Wolves","Crystal Palace",1
3,"Crystal Palace","Wolves",0
2,"Nottingham Forest","Chelsea",1
3,"Chelsea","Nottingham Forest",0
0,"Man Utd","Arsenal",1
1,"Arsenal","Man Utd",0
3,"Aston Villa","Liverpool",1
3,"Liverpool","Aston Villa",0
2,"Arsenal","Everton",1
1,"Everton","Arsenal",0
2,"Brentford","Newcastle",1
4,"Newcastle","Brentford",0
0,"Brighton","Man Utd",1
2,"Man Utd","Brighton",0
1,"Burnley","Nottingham Forest",1
2,"Nottingham Forest","Burnley",0
2,"Chelsea","Bournemouth",1
1,"Bournemouth","Chelsea",0
5,"Crystal Palace","Aston Villa",1
0,"Aston Villa","Crystal Palace",0
2,"Liverpool","Wolves",1
0,"Wolves","Liverpool",0
2,"Luton","Fulham",1
4,"Fulham","Luton",0
3,"Man City","West Ham",1
1,"West Ham","Man City",0
0,"Sheffield Utd","Spurs",1
3,"Spurs","Sheffield Utd",0
